incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0xafb0276a920b3bf4bdce5f1e5fe489b657fdd1ae642c673e7636536c11f5d88f,13793096,1639348141,0xdc32accbbe943a58b2cd243217be25edb9b9e71c,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,285860145530523689,21000,67981793007,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0xa05b6d31c2b202ff6cbb3071ab440e9606c581974603207fe27a70e2999b971a,13793112,1639348350,0x3221c24f7898117578435a4968a11759b8dfcb3f,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,87391277010484523,21000,64855980523,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0x933126e4bdcd807208d3ec91785ef058cf489a1fc7c964da80d755155f61775b,13793120,1639348467,0x539339c69103e694fcf2be5b07a19dd3d1330db3,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,242719754332843446,21000,67981027915,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0x5b70adf8144395a1ff9e2014a5de4b65054d740130fec8e697fd63523ccf8a0c,13793129,1639348567,0x796dedf4b39a6dc9c0ba1f8a4b6710690686c66e,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,2375399570037505854,21000,64529552286,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0xfa06edef8144b4a5e28b2f1e358f3e04e5f3a3aa1fabe3ad587cc42381550293,13793218,1639349686,0x6c4cd433c3af237dad6b5ed27aa201ff2f4289e6,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,639984452297778367,21000,55836317096,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0x176cc3a0442242302d59785286854777dbc373c43f1337e9c1db5a20a529b6f8,13793233,1639349883,0x6ad5f750be66da5199a1c63166bb3f6425062fc2,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,993497296648174339,21000,58365895419,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0xb0a4889203e838fd577c5ac6a1064c49e06b0f4225cf941911c4c4929d3df285,13793260,1639350388,0xe0221fa201c95e41b7ed9453950269555bb20b70,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,110000000000000000,21000,425531633263,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0xf2faa0352b59b687dcd3eba72d7b63be2190e76196a6fd4680ffaf607efe99d6,13793377,1639351836,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,0,340952,86406491670,225634,0x3805550f,exit(bytes inputData),,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0x35d17acc08376ccec3690fcc604b3b879b652fc9b42efa6dfe04eaf447fa430a,13793382,1639351922,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,0,345969,101996273398,230651,0x3805550f,exit(bytes inputData),,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0xf80e3dc16b9fe7814736ed7c7808783773e9bfb9cf0542891e2381f1cad78503,13793402,1639352224,0x907d3fa20cdd3b6db970592f97419abbcf2179ea,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,31063255822277566,21000,89914569193,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0x16ade942097619b54e364bec97b2d4c55d0dfb05cefbd906bb491354fbea2780,13793434,1639352674,0xf68280e70c3efbc26d5e5a4406f70d71ce6a76b8,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,165163752340895347,21000,72980220686,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0xbe180588935e5aa4e83cfa779aa661cc97aa2f7f9f1835956cd8dfdd4f499212,13793437,1639352724,0x1c1a7507c00c8798b5e6a62a96c91885f31170a7,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,70493834275871382,21000,80988757629,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0x7c6e7202b890882dd81f8b9429e87315f1f093b4e9ceb29f3d199c6f7167f4d2,13793448,1639352823,0x2101085bd34236fbdd923262d2065c89a873a5ea,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,2641085561662703666,21000,65643982376,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0x9ab5b21d3fc163215ec16069391d8876c5250297d97fd1403e7c31e738d64d99,13793449,1639352830,0x23e80f00ade91a76d536e8ba557b6ec3a5ed2030,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,984899625666712174,21000,64300430124,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0xfb0f5ffa905bea6e51222d975ea0bee13db145354af6825074bcbc30f8a93835,13793452,1639352914,0x3fb8fcfc3357a74b618486f1e2daeb8567672dc7,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,2900782191536543925,21000,71917653457,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0x85ff8910ac7c54ef02ad076f92519ad930d683342e787ad68ecbb7342319dbea,13793454,1639352946,0x4765dfa8726262b667a4dbe08a840dd52c306a26,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,1030824301719339631,21000,76306794722,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0x8e90ee4d8576252629e62f2aba35c6e89daa40bc7aa30b041a87b88c2b7d3fe2,13793461,1639353025,0x8483faaa93f8c647d3898b694baf079189bee41c,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,47557978898071554,21000,71879703065,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0xf8943312689a9d3e1084ee2db059ff68106f432743f0f1468172dc4bd962ac7c,13793467,1639353080,0xaa3f1f23bc900861066dd1c379c72af485bfe802,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,71209426080142398,21000,68000829932,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0xd921cc46694110364f422cc6c751533aa78edebd38b7982f6701c74089bdeb81,13793471,1639353112,0xaf407945314dd69d79fe19c9955fb7f9106345be,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,263432117028714638,21000,60851328497,21000,0x,,,,,,
Vulcan_Forged,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,normal,0xfb0cbfd190417ad19aa8a277aee68af1c39a9bd290ec0d997dad021420f0dee3,13793483,1639353228,0xe33329d823751892a830939fb3e958b9257baa2a,0x48ad05a3b73c9e7fac5918857687d6a11d2c73b1,704013532148249249,21000,48992670287,21000,0x,,,,,,
